,Power Consumption (Watt)
2009-01-25,27.947295964364418
2009-02-01,29.499814322802578
2009-02-08,29.473393793486338
2009-02-15,29.80391443819698
2009-02-22,30.256910757122615
2009-03-01,29.38767420732945
2009-03-08,28.364673999765444
2009-03-15,27.21597084522797
2009-03-22,26.587586976202925
2009-03-29,26.030839756793018
2009-04-05,26.356624531186483
2009-04-12,26.25452656563739
2009-04-19,25.93283296249799
2009-04-26,26.227990490385118
2009-05-03,26.05959700156597
2009-05-10,26.48248797892196
2009-05-17,26.048404951955387
2009-05-24,26.077184913280337
2009-05-31,24.545594749773286
2009-06-07,22.454316630984213
2009-06-14,19.31373842262064
2009-06-21,17.022845220663957
2009-06-28,16.389816338524383
2009-07-05,15.7864024689331
2009-07-12,17.121713610417054
2009-07-19,16.77529053509588
2009-07-26,15.450771844295831
2009-08-02,13.469828666133392
2009-08-09,11.02892856455671
2009-08-16,10.94960500721223
2009-08-23,9.776748717226086
2009-08-30,9.15998800396294
2009-09-06,11.039620451688165
2009-09-13,10.616607638475458
2009-09-20,12.284371639848102
2009-09-27,14.160821081498423
2009-10-04,14.881058872173309
2009-10-11,14.703162526525048
2009-10-18,14.466557511760788
2009-10-25,14.966946647758093
2009-11-01,14.114470218417054
2009-11-08,13.280437139168324
2009-11-15,13.197795326011635
2009-11-22,13.217627087598272
2009-11-29,13.78661886374001
2009-12-06,14.961599930698943
2009-12-13,15.891098171714955
2009-12-20,17.773382556069592
2009-12-27,21.920308631445167
2010-01-03,25.640326430386818
2010-01-10,29.921773323710983
2010-01-17,32.81853656716065
2010-01-24,32.32318134003492
2010-01-31,34.10433932032234
2010-02-07,37.56915856430355
2010-02-14,44.538849646341575
2010-02-21,54.87204062555062
2010-02-28,69.33375093731374
2010-03-07,85.20839273660818
2010-03-14,96.77358753184507
2010-03-21,103.82382405389099
2010-03-28,111.0569145612349
2010-04-04,120.19435604810121
2010-04-11,135.80470296650498
2010-04-18,166.94519489978546
2010-04-25,204.3957610816832
2010-05-02,240.86038209045972
2010-05-09,270.70888360627725
2010-05-16,282.4294764861413
2010-05-23,277.9809213920292
2010-05-30,294.755305150431
2010-06-06,316.3135578352785
2010-06-13,343.36761082745926
2010-06-20,380.7866111762429
2010-06-27,398.14178947611026
2010-07-04,424.84212630757366
2010-07-11,462.9446933279766
2010-07-18,718.2397846660035
2010-07-25,1913.9626320440059
2010-08-01,3179.059838549051
2010-08-08,4767.185878778944
2010-08-15,6456.300453119511
2010-08-22,7856.969295470157
2010-08-29,9617.931639986791
2010-09-05,11151.352758863559
2010-09-12,12222.28985710695
2010-09-19,13146.933517420874
2010-09-26,15064.366481309304
2010-10-03,17605.521775380636
2010-10-10,19709.031772632803
2010-10-17,21975.71921613348
2010-10-24,25894.391488317095
2010-10-31,31258.82492743536
2010-11-07,39258.78420857682
2010-11-14,51920.802115014914
2010-11-21,66449.49243157486
2010-11-28,79982.11580389444
2010-12-05,96219.29510998345
2010-12-12,117436.96325518125
2010-12-19,137686.82333882473
2010-12-26,158842.6514185885
2011-01-02,175691.0400503179
2011-01-09,185636.52905365088
2011-01-16,194290.0960108829
2011-01-23,206632.83127059447
2011-01-30,218927.91985753865
2011-02-06,231739.41961980387
2011-02-13,254198.67578115728
2011-02-20,283922.8000544771
2011-02-27,337725.1886795984
2011-03-06,431169.79611732624
2011-03-13,537856.914005592
2011-03-20,591578.1551458327
2011-03-27,622450.7526149396
2011-04-03,622198.3627153276
2011-04-10,611851.715421783
2011-04-17,650894.5200800203
2011-04-24,681688.2863073067
2011-05-01,720733.4999723651
2011-05-08,795746.232478407
2011-05-15,913128.7250281079
2011-05-22,1128687.860939173
2011-05-29,1586571.9011539514
2011-06-05,2119687.49474159
2011-06-12,2809886.1485915
2011-06-19,3745745.517650873
2011-06-26,4953951.458820568
2011-07-03,6232204.89048451
2011-07-10,7196230.7071541045
2011-07-17,7763000.8625103375
2011-07-24,7861445.737509092
2011-07-31,7839563.984084502
2011-08-07,7941054.940646395
2011-08-14,7862753.037126413
2011-08-21,7583204.735315462
2011-08-28,7239676.0665527
2011-09-04,6660910.456830214
2011-09-11,6295030.6861239895
2011-09-18,5955277.817587012
2011-09-25,5536067.568392816
2011-10-02,5241731.730562094
2011-10-09,4847511.761868334
2011-10-16,4428398.431633814
2011-10-23,3919921.2277024984
2011-10-30,3411689.6082062935
2011-11-06,2992173.334846782
2011-11-13,2686085.2868454857
2011-11-20,2507886.2956839674
2011-11-27,2344864.5803586063
2011-12-04,2179382.5951526123
2011-12-11,2041332.397974237
2011-12-18,1876172.9650142556
2011-12-25,1777414.1816268843
2012-01-01,1726402.2914272083
2012-01-08,1648155.9453984986
2012-01-15,1629290.5768570849
2012-01-22,1596685.3340946948
2012-01-29,1536582.9607768604
2012-02-05,1495632.408420817
2012-02-12,1428587.9212675714
2012-02-19,1370608.6657653484
2012-02-26,1327570.166579404
2012-03-04,1281954.5899676774
2012-03-11,1247679.3084077467
2012-03-18,1236961.1409876915
2012-03-25,1218094.0575510128
2012-04-01,1198932.7520326306
2012-04-08,1167719.7458374505
2012-04-15,1118674.0898163766
2012-04-22,1065587.3538298118
2012-04-29,1021263.4820853748
2012-05-06,1010179.4697256075
2012-05-13,1015599.9384356178
2012-05-20,1008812.0168081496
2012-05-27,978920.2328757257
2012-06-03,930852.1362997041
2012-06-10,884818.2216566114
2012-06-17,862700.1478656045
2012-06-24,853368.5404547285
2012-07-01,846968.3241914327
2012-07-08,826793.030839763
2012-07-15,819118.8662674316
2012-07-22,807774.6905610116
2012-07-29,808270.3991187456
2012-08-05,822049.4188619545
2012-08-12,825525.7202837485
2012-08-19,845080.8248853235
2012-08-26,862118.6080971739
2012-09-02,869727.3289388549
2012-09-09,884743.0501811507
2012-09-16,894072.3947392028
2012-09-23,903150.4133431832
2012-09-30,911193.6844430619
2012-10-07,905028.9179243902
2012-10-14,890155.2749310911
2012-10-21,870768.2275778595
2012-10-28,853603.6289646472
2012-11-04,848307.8177516374
2012-11-11,843705.6215957459
2012-11-18,827740.1477279637
2012-11-25,809024.9118588495
2012-12-02,793354.0277611752
2012-12-09,772419.0761393566
2012-12-16,739608.8270870263
2012-12-23,693859.9703160749
2012-12-30,648927.5252216537
2013-01-06,618397.9772001292
2013-01-13,602609.8341210737
2013-01-20,591200.2990168866
2013-01-27,576032.094980487
2013-02-03,560571.6732373224
2013-02-10,566062.2674814106
2013-02-17,578221.6097905792
2013-02-24,612580.5829756377
2013-03-03,656861.5393127095
2013-03-10,699111.1219929458
2013-03-17,743533.9109288476
2013-03-24,805901.1155710776
2013-03-31,909643.9056467123
2013-04-07,1022159.9944765519
2013-04-14,1149515.1416597161
2013-04-21,1247582.7466032323
2013-04-28,1313853.9430806513
2013-05-05,1372186.4072305737
2013-05-12,1428448.9629848483
2013-05-19,1496966.1100837004
2013-05-26,1527199.6312806974
2013-06-02,1613116.3153271284
2013-06-09,1780539.3049999173
2013-06-16,1961956.0292846872
2013-06-23,2177334.3779201386
2013-06-30,2360566.4636650095
2013-07-07,2493756.227576921
2013-07-14,2670076.974089889
2013-07-21,2890112.934520634
2013-07-28,3166703.2481813547
2013-08-04,3468755.8972108588
2013-08-11,3842080.800878591
2013-08-18,4402331.035390169
2013-08-25,5119682.260685184
2013-09-01,5928047.557342481
2013-09-08,6922320.180061663
2013-09-15,7944747.951774593
2013-09-22,9281589.098912686
2013-09-29,11024880.32004078
2013-10-06,12678189.705286784
2013-10-13,14705305.238842983
2013-10-20,17868115.787812438
2013-10-27,21641635.279341124
2013-11-03,26510017.625780962
2013-11-10,31579024.522369385
2013-11-17,36075062.66922054
2013-11-24,40172640.15066558
2013-12-01,43014143.039641306
2013-12-08,46942947.25790058
2013-12-15,51981772.179469734
2013-12-22,58182070.09284066
2013-12-29,65921314.79658948
2014-01-05,72556424.53172454
2014-01-12,80705611.00701013
2014-01-19,89783469.55997375
2014-01-26,98154529.84154536
2014-02-02,108222821.65164866
2014-02-09,117869519.27178174
2014-02-16,125348255.29996194
2014-02-23,135587779.3825409
2014-03-02,147284140.88858643
2014-03-09,156106710.31080675
2014-03-16,166173578.52993304
2014-03-23,173250203.06795496
2014-03-30,182178490.03344542
2014-04-06,195364345.72507712
2014-04-13,209230990.60494697
2014-04-20,224369082.05018562
2014-04-27,237715858.85961252
2014-05-04,246107057.88267714
2014-05-11,254179397.7540812
2014-05-18,262107891.97299337
2014-05-25,271174806.11882335
2014-06-01,281499881.7975799
2014-06-08,294922978.41619766
2014-06-15,305431637.7471726
2014-06-22,322292874.79968965
2014-06-29,347400807.1091038
2014-07-06,364021206.2702283
2014-07-13,380661255.1376637
2014-07-20,389335784.6350723
2014-07-27,387007734.7036095
2014-08-03,387088742.502065
2014-08-10,387145976.0650539
2014-08-17,393313857.1158196
2014-08-24,406714702.0446575
2014-08-31,423301008.90639305
2014-09-07,446586715.9047263
2014-09-14,461012411.21161
2014-09-21,480553182.99583834
2014-09-28,495252236.1992372
2014-10-05,496978662.9295869
2014-10-12,503309749.5599714
2014-10-19,490975905.1370699
2014-10-26,477377979.832111
2014-11-02,470607765.21961343
2014-11-09,463738946.77200365
2014-11-16,460037559.8715819
2014-11-23,455476301.21765375
2014-11-30,444773094.6941827
2014-12-07,426898853.153068
2014-12-14,407692484.988113
2014-12-21,387941919.47083426
2014-12-28,372034681.557554
2015-01-04,366152427.3190813
2015-01-11,363450761.27333415
2015-01-18,356693231.0297177
2015-01-25,353635225.85540915
2015-02-01,334369629.23567104
2015-02-08,322993404.7777648
2015-02-15,319748554.7593924
2015-02-22,314609206.5987817
2015-03-01,316752741.27629113
2015-03-08,313395629.13922155
2015-03-15,308412032.8105873
2015-03-22,301519398.3758997
2015-03-29,297174510.3617652
2015-04-05,292783554.5709355
2015-04-12,288723629.6441475
2015-04-19,285383017.07359034
2015-04-26,279878324.638038
2015-05-03,272682948.3998921
2015-05-10,266301016.66561568
2015-05-17,261673752.33572742
2015-05-24,259448136.94204268
2015-05-31,255472167.7750855
2015-06-07,251935887.15469965
2015-06-14,251494771.5052781
2015-06-21,248630361.95778912
2015-06-28,247259695.54530805
2015-07-05,246068899.49370304
2015-07-12,243471438.7115587
2015-07-19,239227349.20532548
2015-07-26,238739626.73985398
2015-08-02,240124977.9367704
2015-08-09,238295392.87105197
2015-08-16,237840372.28523567
2015-08-23,234534399.111932
2015-08-30,232186479.24834937
2015-09-06,232203699.9773703
2015-09-13,233854930.08470154
2015-09-20,236712221.64850786
2015-09-27,233911151.0332057
2015-10-04,234830325.80226588
2015-10-11,233080252.8236069
2015-10-18,229373120.89822936
2015-10-25,229862979.03418943
2015-11-01,225990803.91123563
2015-11-08,224600161.20297948
2015-11-15,225505745.60544878
2015-11-22,228823140.19538867
2015-11-29,235114755.99015984
2015-12-06,241041783.8822115
2015-12-13,253100313.5658887
2015-12-20,268197409.27287874
2015-12-27,280762639.231889
2016-01-03,298093393.0779314
2016-01-10,311105343.4663893
2016-01-17,322532571.3101856
2016-01-24,327387384.84477866
2016-01-31,337001732.1315466
2016-02-07,353034291.3454609
2016-02-14,375813298.99382555
2016-02-21,403068173.7899591
2016-02-28,413777839.44537985
2016-03-06,416569400.4467547
2016-03-13,409369444.5436443
2016-03-20,402059639.8080171
2016-03-27,398636072.6203618
2016-04-03,398065828.0096592
2016-04-10,393018783.10329276
2016-04-17,395193410.52194506
2016-04-24,398624978.6914344
2016-05-01,393462776.1595596
2016-05-08,396739448.1276957
2016-05-15,395976024.55192614
2016-05-22,392335661.55300903
2016-05-29,400936711.1316568
2016-06-05,394695607.28751427
2016-06-12,389779860.6182239
2016-06-19,389200690.2117269
2016-06-26,384924573.4416728
2016-07-03,387322218.35808295
2016-07-10,387548457.17886466
2016-07-17,383870034.9025953
2016-07-24,373019973.81030834
2016-07-31,357155519.8064393
2016-08-07,346059638.36300844
2016-08-14,339862814.9321708
2016-08-21,337534787.6394676
2016-08-28,347565495.9372966
2016-09-04,345555378.2519866
2016-09-11,342767855.5319841
2016-09-18,345206147.43882334
2016-09-25,339001968.99373126
2016-10-02,343714752.52185595
2016-10-09,347468907.00762415
2016-10-16,345485690.6465246
2016-10-23,340866780.2001083
2016-10-30,336160373.93931544
2016-11-06,331240420.25529134
2016-11-13,328491394.02786696
2016-11-20,336720555.75320387
2016-11-27,337524185.4585852
2016-12-04,341253495.00795674
2016-12-11,343204740.2447222
2016-12-18,342372178.4066788
2016-12-25,343650812.20762944
2017-01-01,346689142.33087087
2017-01-08,352154679.2724029
2017-01-15,353746995.6387614
2017-01-22,364579220.51922816
2017-01-29,380381073.5792512
2017-02-05,395316166.2963859
2017-02-12,409757988.5565772
2017-02-19,417086217.01112986
2017-02-26,417230170.055026
2017-03-05,420876487.74147993
2017-03-12,423839433.9149673
2017-03-19,427606647.76285154
2017-03-26,433326042.4872446
2017-04-02,431615761.09490365
2017-04-09,436741487.60274357
2017-04-16,439223521.2650362
2017-04-23,436385555.64409363
2017-04-30,436118489.891701
2017-05-07,433440918.19556624
2017-05-14,434380029.90685856
2017-05-21,442543630.69736165
2017-05-28,454033340.0198878
2017-06-04,472738876.2771973
2017-06-11,495655906.7972143
2017-06-18,507490748.9608159
2017-06-25,516580773.29292065
2017-07-02,514500569.84034956
2017-07-09,515046335.6853884
2017-07-16,524090180.75640494
2017-07-23,541211633.1000714
2017-07-30,566831958.9110312
2017-08-06,580701346.1932846
2017-08-13,595581590.7887211
2017-08-20,600277533.5648685
2017-08-27,592503448.846562
2017-09-03,570862143.2681988
2017-09-10,582795848.6630197
2017-09-17,602957044.1690638
2017-09-24,625896210.1311102
2017-10-01,671442361.4898682
2017-10-08,679850274.946946
2017-10-15,689081193.4924517
2017-10-22,715094915.0742682
2017-10-29,756202111.8476156
2017-11-05,780256909.1971003
2017-11-12,794837767.7255766
2017-11-19,771830656.1243415
2017-11-26,765417032.8854831
2017-12-03,783467684.2901431
2017-12-10,831087638.8845236
2017-12-17,920848736.7397623
2017-12-24,985380749.645717
2017-12-31,1034649136.5907114
2018-01-07,1087030271.5493622
2018-01-14,1130243406.1177485
2018-01-21,1188317460.428005
2018-01-28,1295229941.427484
2018-02-04,1383035424.1128883
2018-02-11,1498816267.9173987
2018-02-18,1574756535.0908313
2018-02-25,1627245298.9288082
2018-03-04,1685316951.7474718
2018-03-11,1724742383.070455
2018-03-18,1773631892.0559683
2018-03-25,1806284662.2875166
2018-04-01,1822332387.0891404
2018-04-08,1846159471.2717216
2018-04-15,1887651913.341658
2018-04-22,1946924640.6150136
2018-04-29,2007093776.5046647
2018-05-06,2040307814.0010066
2018-05-13,2067758311.061246
2018-05-20,2084189121.1255403
2018-05-27,2126423800.7194505
2018-06-03,2202489545.3797803
2018-06-10,2289596054.9048753
2018-06-17,2366028429.0152907
2018-06-24,2473193674.173279
2018-07-01,2539633349.5335636
2018-07-08,2541092930.7004666
2018-07-15,2575053691.8771048
2018-07-22,2536149620.2595725
2018-07-29,2576249572.1912646
2018-08-05,2675356319.3636723
2018-08-12,2786785255.6537337
2018-08-19,2943496721.3243523
2018-08-26,3032687462.194095
2018-09-02,3128934490.130994
2018-09-09,3154521665.511339
2018-09-16,3175989213.5341864
2018-09-23,3169308426.5421476
2018-09-30,3186916679.0129976
2018-10-07,3247336153.625164
2018-10-14,3233801975.010192
2018-10-21,3253274474.88629
2018-10-28,3207851167.8269157
2018-11-04,3145294542.0839553
2018-11-11,3093265281.6149306
2018-11-18,2998819673.5697603
2018-11-25,2873450323.614745
2018-12-02,2692126348.7208247
2018-12-09,2492623783.694481
2018-12-16,2300653462.6485724
2018-12-23,2190218829.252548
2018-12-30,2178430592.790766
2019-01-06,2241043801.883108
2019-01-13,2344659541.0543976
2019-01-20,2378612682.0417576
2019-01-27,2379320116.2137685
2019-02-03,2370949041.679581
2019-02-10,2359582627.0648665
2019-02-17,2390390946.380725
2019-02-24,2409723973.223322
2019-03-03,2409247318.926237
2019-03-10,2391089055.1196475
2019-03-17,2354508449.110218
2019-03-24,2374380982.60226
2019-03-31,2389709008.8942604
2019-04-07,2404469072.8773727
2019-04-14,2437593468.278241
2019-04-21,2397827529.7520795
2019-04-28,2369779889.487749
2019-05-05,2387510992.6238537
2019-05-12,2392390184.7018704
2019-05-19,2430490429.078238
2019-05-26,2500188147.426827
2019-06-02,2548864959.5251627
2019-06-09,2592925647.752005
2019-06-16,2650278537.766894
2019-06-23,2659586130.9260325
2019-06-30,2688672460.3211164
2019-07-07,2789795800.6051993
2019-07-14,2907228002.6242957
2019-07-21,3022781895.1404467
2019-07-28,3092564325.9239264
2019-08-04,3167491607.0321484
2019-08-11,3227221658.3762493
2019-08-18,3302393004.6983914
2019-08-25,3371176270.2739105
2019-09-01,3420042567.6248045
2019-09-08,3477910828.3009744
2019-09-15,3617266327.6141653
2019-09-22,3797519592.5322514
2019-09-29,3957004005.4148936
2019-10-06,4059374036.7039337
2019-10-13,4133595273.2549114
2019-10-20,4153823832.166342
2019-10-27,4179345547.76622
2019-11-03,4161880002.49398
2019-11-10,4079102589.047634
2019-11-17,4012352911.6065903
2019-11-24,3944131243.7163982
2019-12-01,3900916585.875178
2019-12-08,3912120165.07731
2019-12-15,3915453088.5250444
2019-12-22,3867119127.115022
2019-12-29,3915081032.859334
2020-01-05,3956606890.1124077
2020-01-12,4070454313.8613625
2020-01-19,4186516579.6033854
2020-01-26,4280130566.4117417
2020-02-02,4343541685.1137905
2020-02-09,4376552952.353754
2020-02-16,4384643048.703663
2020-02-23,4371620780.186629
2020-03-01,4341314036.246296
2020-03-08,4373280885.478343
2020-03-15,4433562811.250162
2020-03-22,4294666798.3443174
2020-03-29,4142717425.0183444
2020-04-05,3973487404.319586
2020-04-12,3827778993.159897
2020-04-19,3943602309.86741
2020-04-26,4058711976.1145544
2020-05-03,4108752753.4318457
2020-05-10,4205745123.2631564
2020-05-17,4186880172.696558
2020-05-24,3986088564.912058
2020-05-31,3779968332.23847
2020-06-07,3613983771.835158
2020-06-14,3573307827.864316
2020-06-21,3688477458.2532287
2020-06-28,3824877506.1131763
2020-07-05,3924988894.5973315
2020-07-12,3990827225.976072
2020-07-19,4066444018.086274
2020-07-26,4070622626.569215
2020-08-02,4109304270.9885855
2020-08-09,4066507490.943753
2020-08-16,4096832407.030075
2020-08-23,4153902816.5735917
2020-08-30,4096768192.724243
2020-09-06,4079926456.061179
2020-09-13,4103609980.9927063
2020-09-20,4196019561.127345
2020-09-27,4303865398.600142
2020-10-04,4396715579.824765
2020-10-11,4430853359.540644
2020-10-18,4462111801.78463
2020-10-25,4467325028.351931
2020-11-01,4328472328.230215
2020-11-08,4128377679.7704835
2020-11-15,3971303948.126382
2020-11-22,3855596171.777965
2020-11-29,3960114131.1551275
2020-12-06,4075124936.5403337
2020-12-13,4142823557.1760483
2020-12-20,4163322374.6820693
2020-12-27,4117158467.841391
2021-01-03,4153796685.5647182
2021-01-10,4221046162.308735
2021-01-17,4332946962.122213
2021-01-24,4411998163.994798
2021-01-31,4460376114.357771
2021-02-07,4428817255.296359
2021-02-14,4478513275.442724
2021-02-21,4507423424.689349
2021-02-28,4516066970.733251
2021-03-07,4554730003.626319
2021-03-14,4500081959.96963
2021-03-21,4500517797.493866
2021-03-28,4566909572.94796
2021-04-04,4616539515.470734
2021-04-11,4660423357.704388
2021-04-18,4719697390.816652
2021-04-25,4555314675.227776
2021-05-02,4510978507.503281
2021-05-09,4523681320.588876
2021-05-16,4588247442.257463
2021-05-23,4635593588.768055
2021-05-30,4523481396.599136
2021-06-06,4394231626.155981
2021-06-13,4129631450.228423
2021-06-20,3939210742.4604464
2021-06-27,3652204418.412697
2021-07-04,3221647493.3045373
2021-07-11,2864128542.8242126
2021-07-18,2654279794.4471626
2021-07-25,2590390779.3610888
2021-08-01,2663977748.41599
2021-08-08,2778922191.406236
2021-08-15,2873489950.7979517
2021-08-22,3010826314.4489665
2021-08-29,3165921281.3928633
2021-09-05,3263678408.8920627
2021-09-12,3400676456.514049
2021-09-19,3489764613.8284802
2021-09-26,3561871977.2820272
2021-10-03,3626283073.899433
2021-10-10,3685120896.820019
2021-10-17,3730453611.5732355
2021-10-24,3762641398.423542
2021-10-31,3880919262.694385
2021-11-07,3964706917.8830266
2021-11-14,4059742796.931899
2021-11-21,4169483958.528014
2021-11-28,4167673687.44508
2021-12-05,4160046110.730413
2021-12-12,4279962543.582068
2021-12-19,4326227670.920688
2021-12-26,4405100122.296317
2022-01-02,4479328986.25347
2022-01-09,4453346706.671495
2022-01-16,4468305558.683114
2022-01-23,4603723449.00035
2022-01-30,4708037129.950783
2022-02-06,4799257578.558723
2022-02-13,4854432929.565842
2022-02-20,4927222028.235914
2022-02-27,4933039879.396938
2022-03-06,4916662707.351987
2022-03-13,4935374733.473465
2022-03-20,4885754161.534342
2022-03-27,4949623785.994569
2022-04-03,4982402664.576097
2022-04-10,5020693520.103167
2022-04-17,5009024150.597884
2022-04-24,4978513875.78647
2022-05-01,5093214125.177452
2022-05-08,5223274904.377029
2022-05-15,5321570939.272163
2022-05-22,5381247609.798937
2022-05-29,5262897355.438724
2022-06-05,5177579496.128569
2022-06-12,5135377889.798893
2022-06-19,5096746386.805167
2022-06-26,5041753928.368146
2022-07-03,5012799467.854006
2022-07-10,4959634340.180618
2022-07-17,4874548111.474521
2022-07-24,4824935746.030052
2022-07-31,4755838037.421497
2022-08-07,4669136154.693504
2022-08-14,4680426517.133726
2022-08-21,4692932562.984421
2022-08-28,4750831495.585841
2022-09-04,4855084308.052906
2022-09-11,4959512636.24057
2022-09-18,5118443534.384147
2022-09-25,5183907043.586347
2022-10-02,5224252552.418684
2022-10-09,5357314384.04427
2022-10-16,5534924609.139354
2022-10-23,5717364182.990067
2022-10-30,5861949018.284054
2022-11-06,5937290937.670646
2022-11-13,5966889255.544352
2022-11-20,5951837655.822119
2022-11-27,5911634060.806754
2022-12-04,5750417908.909876
2022-12-11,5654152814.2082205
2022-12-18,5604354942.867189
2022-12-25,5513322037.576695
2023-01-01,5458938323.575072
2023-01-08,5478341225.825613
2023-01-15,5502163266.023275
2023-01-22,5650140718.902821
2023-01-29,5849307335.959419
2023-02-05,5916499928.963645
2023-02-12,5935276508.652477
2023-02-19,6079618498.475893
2023-02-26,6198226483.4155855
2023-03-05,6307898007.109121
2023-03-12,6534116928.417684
2023-03-19,6620838601.465884
2023-03-26,6748692595.5123825
2023-04-02,6953049893.627008
2023-04-09,7015090869.593443
2023-04-16,7085614351.773691
2023-04-23,7146838560.1088295
2023-04-30,7044989233.600528
2023-05-07,7042866588.009403
2023-05-14,7003445080.897583
2023-05-21,7054893449.120692
2023-05-28,7131527219.256208
2023-06-04,7233258742.279447
2023-06-11,7338349946.280807
2023-06-18,7403797584.861255
2023-06-25,7437633478.008964
2023-07-02,7344057065.9854965
2023-07-09,7319509135.503937
2023-07-16,7281429582.903213
2023-07-23,7315748176.849393
2023-07-30,7342601808.689926
2023-08-06,7335843172.825977
2023-08-13,7294791386.987442
2023-08-20,7368648540.796961
2023-08-27,7491729501.514963
2023-09-03,7442998616.5647335
2023-09-10,7458818287.077064
2023-09-17,7380257691.378544
2023-09-24,7447494356.572529
2023-10-01,7611558663.136631
2023-10-08,7755871736.842254
2023-10-15,7972765470.951137
2023-10-22,8031956083.167883
2023-10-29,8177284693.955868
2023-11-05,8291237628.600848
2023-11-12,8284208798.714367
2023-11-19,8345771088.439758
2023-11-26,8527580456.434345
2023-12-03,8590035700.940876
2023-12-10,8746780676.93722
2023-12-17,8807244284.441166
2023-12-24,8864295471.638655
2023-12-31,8996239576.111673
2024-01-07,9078909448.702864
2024-01-14,9183874689.227472
2024-01-21,9104757026.544529
2024-01-28,9119210704.635946
2024-02-04,9205693453.725893
2024-02-11,9442002398.512981
2024-02-18,9717427737.635237
2024-02-25,9815199745.559704
2024-03-03,9943744098.925755
2024-03-10,9926958966.580008
2024-03-17,10052387954.284174
2024-03-24,10201263310.489445
2024-03-31,10180591705.786266
2024-04-07,10218280902.099747
2024-04-14,10240321451.075603
2024-04-21,10352519378.743935
2024-04-28,10550791383.112751
2024-05-05,10640943611.01101
2024-05-12,10453747473.683788
2024-05-19,10223225287.780079
2024-05-26,10055589079.848452
2024-06-02,10067731683.581242
2024-06-09,10029801789.415636
2024-06-16,9988235400.196096
2024-06-23,9916146269.837282
2024-06-30,9620398284.406656
2024-07-07,9516730019.397434
2024-07-14,9516321707.743753
2024-07-21,9538256917.430275
2024-07-28,9817629423.220964
2024-08-04,10099039582.218845
2024-08-11,10219437591.936691
2024-08-18,10277758102.667833
2024-08-25,10278472924.753916
2024-09-01,10242082544.23808
2024-09-08,10425648187.131702
2024-09-15,10509877654.189709
2024-09-22,10422765431.717663
2024-09-29,10424090409.411112
2024-10-06,10342949522.498718
2024-10-13,10462341354.124367
2024-10-20,10607982057.016062
2024-10-27,10975659077.478233
2024-11-03,11335691483.728567
2024-11-10,11448793811.091911
2024-11-17,11674199985.3694
2024-11-24,11778987316.028223
2024-12-01,11723284305.897797
2024-12-08,11842509151.270485
2024-12-15,11971475931.829876
2024-12-22,12056203131.579674
2024-12-29,12235805710.030674
2025-01-05,12416999043.828703
2025-01-12,12566840661.096611
2025-01-19,12568064163.325186
2025-01-26,12544593138.444168
2025-02-02,12498320938.515087
2025-02-09,12609975099.376015
2025-02-16,12709324618.191338
2025-02-23,12832786091.300373
2025-03-02,12794162501.947733
2025-03-09,12709375340.008146
2025-03-16,12778163542.94397
2025-03-23,12789826959.243574
